Content,PraisedNum
duck不必,0
回复@筱筱筱筱筱白:我宁愿天天回学校上课我也不想上网课,0
回复@自闭小崔爱学习:哈哈哈哈哈哈哈哈哈哈哈你好可爱,5
duck不必,0
duck不必，我挺忙的,0
充电,0
一起加油[加油][加油][加油],1
回复@自闭小崔爱学习:那你该换ID了姐妹哈哈哈哈,8
回复@自闭小崔爱学习:@YYYeong- 笑死了笑死了,0
无聊就在家多唱国歌,1
回复@知你故来风:瞎说什么大实话，我老师发了一堆文献，目前为止就看了一篇,6
想知道大学延迟开学了 我们买了机票的大学生有没有相应的退改政策 到现在开学时间未定 被迫退票退票手续费难道都要让学生个人承担吗,1
大可不必，告辞,0
我真是谢谢你啊！,1
     举报             赞[0]         回复             今天 12:59 来自网页,0
厉害了人民日报,0
回复@落日追飞车:网课我学不进了,0
再怎么闲得无聊也不会翻来一本书,0
这个挺好的，如果课程再全一些就更好了,0
自从你帮助了红十  感觉我对你的感情已经没有以前那么深了,0
没网没流量,0
其实...更想开学去学校上课,0
回复@自闭小崔爱学习:哈哈哈，可爱的id,0
下次，下次一定,2
【在家闷得慌？人民日报客户端免费在线课来了】,0
我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我不想上网课我想回学校上学,2
 ,0
     举报             赞[1]         回复             今天 12:56 来自网页,1
大家或者首页或许可以帮忙我武传同校的学姐转发一下吗,0
回复@大米河虾:想多了 怎么可能减少假期 第一是有网课的 第二夏天热死学生吗 学校和寝室都没有空调 第三 需要学生旅游增加经济,0
直接下载人民日报客户端就可以了吗？,0
不闷，明天上班了,0
 猿辅导🐂🍺,1
我来了！！！,1
duke不必,0
蛮好的，孩子的学业不能耽误,0
我已经开始了,0
回复@知你故来风:一下就不无聊了,1
回复@自闭小崔爱学习:上次忘了，这次有事，下次一定。,5
转发！不能耽误的事很多，我们真的到了居家就可以解决生计的时代了吗？还有很长路要艰苦奋斗的走！,0
今早拉肚子了，没心情看，谢谢,0
我不,0
💪,0
[加油][加油][加油],0
男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神男神李永乐！！！！魅力无穷李永乐,1
近视眼又多加了几亿啊？,0
媒体从业人员要遵守媒体职业精神。外国媒体人员要验证护照有效期，进行人身安全检查，报道内容须经核实，或有待进一步调查验证；同样，中国驻外媒体从业人员也必须遵守各个国家的制度和规则，禁止从事与本职业无关的活动。不论哪个国家的媒体人员，都要真实客观地报道新闻真实内容。,0
不用！我谢谢你！,0
回复@知你故来风:竟瞎说大实话,2
不必,0
不了谢谢,0
广告,0
duck不必！,0
请求国家以及航空公司再次调整航空公司退票政策🙏,0
请求国家以及航空公司再次调整航空公司退票政策🙏,0
太棒了！可是今天是周末,0
哦 谢谢,0
它开课了我也要上网课了 听哪个好呢 好难选择喔,0
有呆着家里赚钱的方法吗,1
太南了,0
流量啊流量怎么办,0
duck不必 谢谢谢谢,0
谢谢 这就不必了,0
链接呢？发一下呗！,0
回复@朴载相:？？？,0
怎么学？不想学呀？,0
看到云课堂就害怕,1
不必了，谢谢,0
鹅鹅鹅鹅鹅鹅鹅 这条的评论怎么这么少 是因为发出时间还不长吗😂,0
回复@自闭小崔爱学习:哈哈哈哈哈哈哈哈哈哈哈哈哈哈hi,0
回复@自闭小崔爱学习:你给我整笑了，哈哈哈,1
我谢谢你哦,1
回复@知你故来风:哈哈哈哈哈哈哈 是我了 在家闲的没事也不做毕设,0
别……别……别……告诉我妈,1
不学，网课搞得我头晕目眩，我要玩游戏,0
？？？？你也？,0
为什么高校也要上网课，我不愿意，宁愿往后延长学期,1
六六六,0
谢谢，先不用了,0
都把在线教育app都试了一遍,0
不不 在家不闷,0
本来我们这正常就是三月一号开心，可是停课不停学之后我们这反而提前开学了，孩子假期更累了加重我们这小孩的负担了,0
我挺忙的，就不用了。,0
这就去给孩子安排上,0
快开学吧,0
里面的合作机构都是大v，行业的领军人物,0
当然 我这么无聊也不会想看书的,0
合作机构：回形针     举报             赞[0]         回复             今天 12:50 来自网页,0
网课平台多，学校也要开始网络授课，教育部门应该指导下，如何让好事真的成好事？,0
回复@要好好睡觉啊啊啊:你真污,0
你想多了，一点也不闷！是你自己闷了吧,0
谢谢，再见,0
我不我就不,3
回复@Daisy_ZTT:我也是铁粉 主要是要点赞的人多,1
毕业狗没带电脑回家的痛你懂嘛！！！,0
我的厨艺已经晋升到王者级别了,0
不必不必,0
我英语单词还没背完呢，会计作业还没写完呢，我忙着呢！,0
猿辅导！,2
回复@知你故来风:太真实了,0
看不见看不见🙈,2
算了吧  手机电脑电视都要看吐了,0
怕了怕了,2
怕了怕了,2
谢谢谢谢，不了不了，忙着呢，一点也不无聊，我十七天没出门觉得还行,0
不了，谢谢,0
想学ui设计不知道咋学,0
借楼🙏 求大家看一下国家级贫困县广西河池都安,2
我想学学视频编辑,0
太好了,0
真的不闷你们多休息别整这些,0
咳不必了不必了,1
人民日报就是为人民服务！木钰吧！一囯再做什么？？？任务是什么？？？,0
突然发现王者荣耀很好玩，一大堆剧还没去追，大可不必了嘻嘻,0
我突然有点忙的样子,0
duke 不必！,0
不了不了不了,0
我就不,2
回复@朴载相:我认得你，韩国王子殿下嫖一生先生，你父亲是嫖人勇，祖父是嫖嫖乐，你们一家是第一次来武汉，还想在武汉买套房，你说有一次就有两次，希望祖祖辈辈和武汉人民做好朋友,16
那我还是闷着吧,0
已经上班了吧在家办公也挺忙的。这就不了，谢谢您,0
钉钉它已经开始了呜呜呜呜,0
闷吗？不,0
我不闷我不闷,0
这大可不必了,0
不闲的慌 学校的网课已经够受的了,0
回复@知你故来风:真实 （再说我不无聊,0
别了吧,0
我实在太忙了,0
我实在太忙了,0
无聊,0
不了,0
回复@余月双:人家热评就是铁粉还有VIP什么的才给热评,1
大可不必，我突然发现我好像没那么闲了,0
回复@花颜啦:我们也是钉钉,0
建议仿照中山市做法，非毕业班不上网课，保障中小学生的视力，可布置读书任务，群里讨论；或是名师统一上课，保障高质高量。不能为了上而上，要有意义。,1
回复@自闭小崔爱学习:乖，咱听话,5
不错,0
回复@知你故来风:开着网课发呆玩手机 我本人,9
回复@自闭小崔爱学习:你要开花🌼了吗,1
最近总梦到吹唢呐的，让我很困惑。 听说小编精通古今，有什么说法没？,1
我喜欢技艺技能，,0
我们已经在腾讯会议上开始上课了,1
回复@知你故来风:真实,0
回复@Mars_hcy宇:我要看综艺，谢谢,0
     举报             赞[0]         回复             今天 12:47 来自网页,0
算了算了，这就不用了。,0
谢谢了哈,0
请考虑将武汉非肺炎患者转诊至其它地区救治！,0
大可不必,0
duck不必,0
一点都不闷得慌,0
我还是闷着吧,0
表格的有吗,0
在哪看？？,0
回复@自闭小崔爱学习:看着你的id再说一遍,20
太吓人了吧！还有课啊~,0
转发微博,0
回复@自闭小崔爱学习:哈哈哈哈取了id也不想学 跟我一样,25
郎佳！！！！！！,0
在家闷了，我就来人民日报和那些洋奴打打牙，解解闷。,2
